id,change_area_fraction,change_ssim,change_rmse,localization_iou,background_ssim,composite_score,error
predictions\21\18,0.46804012345679014,0.549677752505463,94.2793015217061,0.17708801805029384,0.7209898746579023,0.47971754977758274,
predictions\21\23,0.4826533564814815,0.5353221894584356,110.24987597947342,0.17556962775291868,0.6427131543633477,0.4499701368265373,
predictions\21\4,0.38137104552469137,0.37059168151736377,100.02720451999228,0.39481188230827186,0.7087339038308277,0.4760080293707381,
predictions\21\59,0.4828313078703704,0.529125202203227,115.13614028056388,0.45713408578683523,0.713127119366025,0.5390002592900729,
predictions\21\62,0.4679224537037037,0.5627765059490211,89.0585704578654,0.1966569633425098,0.6677795378597874,0.4862859375812389,
predictions\21\88,0.4679224537037037,0.5757000330651088,95.801032052644,0.414137647737769,0.7366528976030626,0.5610961761795632,
predictions\204\57,0.20798755787037038,0.33113203437372507,91.79052199293236,0.40260516678701425,0.7869944227756198,0.4827343592142845,
predictions\2\52,0.2413204089506173,0.33863762938676367,84.2151867167495,0.3555328890243744,0.8738798928772129,0.4902138940875953,
predictions\199\101,0.03701485339506173,0.15620751258394142,112.13982566012689,0.07793438877101355,0.6942385665814821,0.2942359265835907,
predictions\197\3,0.11273485725308642,0.4280220030197999,53.703801436694455,0.20679871186780688,0.7787743523906383,0.4865428388980682,
predictions\195\11,0.3387818287037037,0.3418173052681864,146.67936356669054,0.23063653613938243,0.8164602644119648,0.3962534192559527,
predictions\195\113,0.3387818287037037,0.31156613971195707,151.1571565592654,0.210184513000215,0.8343874640834897,0.37870698981627066,
predictions\195\116,0.2991546103395062,0.31194516209235235,158.4449846454475,0.2879316678912564,0.8215067661149149,0.3945157458244296,
predictions\195\16,0.3387818287037037,0.3395882113581423,148.94391436207906,0.2294581222470332,0.8001096263995408,0.39089099824697593,
predictions\195\72,0.21278163580246914,0.3278193353975571,85.08854460398169,0.3887082640634853,0.8282067322056272,0.488844143024147,
predictions\192\34,0.27598620756172837,0.25511455936046756,89.3465283571506,0.22940417644648112,0.7498137890136486,0.40050770854674306,
predictions\191\58,0.050257523148148145,0.39506466745392876,115.81211583793012,0.02962253436506483,0.6991643573326917,0.36120101548854916,
predictions\191\82,0.06495032793209876,0.3024242134430584,74.52898307448675,0.08301103341966573,0.7145854807859753,0.37948550247672,
predictions\19\106,0.17009452160493826,0.6522633431782415,89.43397834114623,0.055009890305380116,0.7358392341844182,0.4850267255935074,
predictions\185\117,0.03962239583333333,0.2697771351958712,97.94413707566214,0.07220763805641121,0.773660255830312,0.3553143960702901,
predictions\185\89,0.03629870756172839,0.323523991440927,90.54712736604651,0.0701176097075865,0.757834404201857,0.3769264857499797,
predictions\182\63,0.36781587577160496,0.29703710463180466,94.61965959166284,0.2141724825955261,0.8055827018062033,0.4148406389517687,
predictions\174\95,0.20023244598765433,0.5288376877305254,50.859101338046365,0.3277845583704341,0.7217851013347413,0.5518068321714987,
predictions\173\125,0.324468074845679,0.30639643636526803,158.0265044704517,0.3015967669927608,0.840459503518644,0.39984435190605555,
predictions\171\93,0.6320529513888888,0.4232311851389184,131.49038749127973,0.4861945504267395,0.8840326964366721,0.523464468712709,
predictions\17\17,0.2509722222222222,0.753753174963911,35.38862138361053,0.6104532275293758,0.8236000237436805,0.742733801580392,
predictions\17\27,0.2510035686728395,0.5368869881076511,144.3145017287619,0.14889558691984756,0.8198078109700543,0.4423624490659937,
predictions\169\37,0.4948857060185185,0.565449605790704,98.12970711313315,0.3461564558556847,0.6685143251337758,0.5250669713863549,
predictions\169\83,0.3813792438271605,0.3627087422638209,98.51487850037344,0.3763464766598807,0.7643613794223216,0.47723963833080785,
predictions\168\120,0.17805314429012345,0.5930999599127851,86.98384667136621,0.15848026868178003,0.7546048454389886,0.5000971685495699,
predictions\168\22,0.09945794753086419,0.5968123199468156,75.45412002586042,0.11168509477839932,0.7662035377228481,0.49814066909226545,
predictions\167\13,0.16721836419753086,0.7011967455151471,83.11140902505996,0.14233225694187607,0.7645021763564988,0.5376084456231548,
predictions\162\111,0.06332802854938271,0.36413403873889677,92.024960047544,0.12862658743325994,0.7651420894830988,0.408629763958081,
predictions\159\102,0.039675443672839504,0.4207183673993679,98.5961442926919,0.08689916877484641,0.7506380223481041,0.4085865733252782,
predictions\159\39,0.039813368055555555,0.42488745571310377,101.85719183353147,0.07300337902570918,0.736910574327131,0.40126021576144205,
predictions\159\50,0.5417751736111112,0.45629138956137855,133.86655049911235,0.33890115673552335,0.860050476967228,0.4853865319717434,
predictions\154\38,0.17025511188271605,0.5910770288925509,63.84728810027756,0.468949650162591,0.7959347184093074,0.6168757585301916,
predictions\152\6,0.28479552469135805,0.3330795287059721,116.2590199101256,0.4504039111831226,0.8347924544793391,0.4857343315463784,
predictions\151\126,0.015922067901234568,0.2573980088105022,171.8939065347811,0.010852051385898306,0.716252988023711,0.26596411647964413,
predictions\151\47,0.4115600887345679,0.3594978443541871,153.66671703956487,0.30786295228727034,0.7435888034652901,0.4091985364047912,
predictions\151\61,0.4144883294753086,0.35570870279200745,150.3008941760157,0.2510901590038869,0.7502359252617612,0.39447742821193427,
predictions\151\65,0.015922067901234568,0.26866580215887087,160.22964744403194,0.017071317566496092,0.7000058477828581,0.278484991472173,
predictions\151\68,0.022083333333333333,0.2882890932693123,137.30874102096234,0.04215838647771091,0.6801297293745164,0.30787502778123055,
predictions\150\21,0.4629663387345679,0.32802206081477975,149.55061094259065,0.4034087395810146,0.7218757738337426,0.4268171124168205,
predictions\136\64,0.02638358410493827,0.3267112770508287,138.91623929119433,0.04716220712269377,0.7660098627590567,0.3344451753488925,
predictions\133\77,0.24152922453703704,0.2641505468610554,170.80928712361822,0.15207883892672006,0.8350213564810791,0.3293614782192977,
predictions\124\92,0.2585498649691358,0.2996372122271403,119.22847081664206,0.3417294603442546,0.7565094418268974,0.4273557525261104,
predictions\123\33,0.09100742669753087,0.45741042805010046,65.37568256368574,0.13040145474165885,0.7009314333422451,0.4530787560933807,
predictions\113\87,0.37072145061728395,0.32432795013539545,159.52567680116434,0.31158919987487343,0.7574616743713127,0.3954926157822812,
predictions\112\2,0.4970732060185185,0.3299710555154617,145.9392328703152,0.3938040511030998,0.8755920385827268,0.45050774712105235,
predictions\11\43,0.2548042052469136,0.4301557090595885,85.00824522061578,0.2696181261639232,0.7577330594186092,0.478426761426459,
predictions\109\1,0.34989583333333335,0.3113885548821162,151.43395483885902,0.32794218283177273,0.77818027062461,0.40532396036658436,
predictions\108\115,0.3513261959876543,0.29106457651690687,151.79296686351225,0.3213798060357382,0.7827585199012055,0.3966470142328885,
predictions\100\124,0.5237186535493827,0.42591087775074454,149.98655403136772,0.2650411161636053,0.9242559980359296,0.449583028801453,
predictions\100\51,0.15864583333333335,0.3351045759693873,104.82206480206177,0.4223023488120387,0.9142918327493789,0.49890769698682413,
predictions\100\55,0.08464457947530864,0.577431250425604,81.49743177411113,0.16341750337504937,0.8589701892496354,0.5160521627162853,
predictions\1\98,0.07880883487654321,0.449578874081443,127.34005182849357,0.09985694190168713,0.772749458242971,0.4033475567817364,
99\107,0.18015576774691358,0.643109408664196,88.1984897213936,0.0689379212178002,0.8674030583579874,0.5067048420955118,
99\69,0.14144627700617285,0.5845124756697846,79.06544188427604,0.24510477638660771,0.8582313672394515,0.5448333932045395,
99\96,0.0812668788580247,0.5888757257918696,89.09502801310123,0.10802947939290132,0.862001984837107,0.49793719222698196,
98\10,0.0979345100308642,0.5226303919944784,78.899683153401,0.16961433188386432,0.7233952887897191,0.4804321256476446,
98\104,0.0982884837962963,0.4462119885182769,97.61059754508985,0.14920814807990582,0.7219474144252189,0.4326714211612379,
98\112,0.10934413580246914,0.5094608160351993,77.61705035022291,0.17402766464023134,0.7197283327725618,0.47760271699852996,
98\26,0.13672212577160495,0.4128938469366229,92.56887864408685,0.17856211749897838,0.716369664179158,0.4329338892305916,
84\32,0.4477758487654321,0.4997959856164689,130.7077289902496,0.21810374101413943,0.7606118810773448,0.4519356335569021,
84\80,0.10530381944444445,0.4968260694251163,68.53294623544981,0.23178528401767767,0.7519418415813253,0.5024646553605479,
79\19,0.09232204861111111,0.10055659882673085,97.12786996436654,0.2880042104059578,0.7853186154338285,0.36321514348553774,
69\90,0.3796850887345679,0.5320810479198098,87.17336095729927,0.3015724262477898,0.609320094417168,0.49972684531292455,
68\9,0.08258535879629629,0.3037767781454706,83.19444954990124,0.1521666655700095,0.6777416174325376,0.388382565970209,
6\86,0.16303867669753086,0.364086931491644,96.8588099593995,0.33462650977494285,0.852369878300055,0.479706166613763,
54\114,0.42911072530864197,0.31726224855681423,147.3878004257174,0.3742143980949951,0.7442233318603448,0.4193413313587353,
50\121,0.10680555555555556,0.1908597336446837,109.37981948704982,0.32039666234347564,0.8935790735496557,0.41116867279579716,
49\118,0.07387393904320988,0.41521213582518196,79.49069067188684,0.13503259411746357,0.7023703388443765,0.4288439368580529,
49\28,0.1391015625,0.3494366224580858,82.82593078122476,0.23202612900745057,0.6970527383937528,0.43150705298341263,
49\45,0.07611062885802469,0.30504019532903437,95.98013117992586,0.10330663574952383,0.6820252687725706,0.3647813151471394,
47\0,0.08283516589506174,0.31816965389039165,67.04174260932794,0.20143210867964934,0.7751994778585986,0.43548717423504485,
47\108,0.08292293595679012,0.3122363363435888,68.9445882787036,0.20566443107919138,0.792177154726247,0.4357344333676928,
43\40,0.0678660300925926,0.16242527427184325,81.18644585096646,0.16097084791323893,0.7351456981769945,0.3517363112909864,
43\53,0.059595389660493825,0.22318048926736828,101.8952902225119,0.14616829360697098,0.7697105297348161,0.35750236410156955,
43\84,0.059595389660493825,0.204929805546685,99.90460945519307,0.1595425818159064,0.7609365198943364,0.3553721280348166,
43\97,0.06707899305555555,0.17678364950604336,101.46394683117873,0.1559378203752712,0.7361078755948879,0.33949223863682876,
37\127,0.03964265046296296,0.2521137077233836,99.62204340904438,0.07193152030187978,0.7463378970004649,0.3436350023367243,
37\35,0.039400077160493825,0.2742865501248788,101.70383461561416,0.0780930886543607,0.74060191400941,0.35075079281741617,
34\48,0.5733627507716049,0.2695956751176128,191.92304997966994,0.20957180064093464,0.8265509217047152,0.3306847824021561,
33\12,0.12768132716049382,0.7045457086989079,67.44315683587563,0.12107395586078701,0.7800542126114036,0.5470247230977991,
33\29,0.1263233024691358,0.7143450971946307,56.648401291590716,0.06733883733956796,0.7632036376091866,0.540272862201298,
33\49,0.1271508487654321,0.7102734891607644,60.10441534856679,0.06703303241579628,0.767372309113085,0.5366707593775246,
33\81,0.12464072145061729,0.7108832105552596,69.38691218594298,0.06018139077059347,0.7645669660163547,0.527127478231154,
33\99,0.1249633487654321,0.7231795066147392,77.08629140605133,0.10847541526891975,0.7906512235046786,0.5437932990246335,
286\67,0.033036747685185185,0.17814693092119124,98.97431019847669,0.10413852565023711,0.755223136046186,0.3292495439648264,
28\25,0.10864149305555555,0.6590477841736231,66.57809237417631,0.03520636053649259,0.7629140076596066,0.5034476221046362,
